ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1059.0,MERCEDES-BENZ,ML 350,ML 350 Inspiration,ML 350 Inspiration,MERCEDES-BENZ ML 350 Inspiration,Silver,SUV / Geländewagen,3724,Zuzwil,305 g/km,Occasion,G,12.7 l/100km,5,Allrad,10,2003,Benzin,235,schwarz,126300,"\"Ab MFK\"",5,Automat
106.0,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,Blue,Limousine,4172,Zuzwil,288 g/km,Occasion,G,12.0 l/100km,4,Allrad,11,2003,Benzin,335,schwarz,26300,"\"Ab MFK\"",5,Automat sequentiell
1060.0,Porsche,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,Silver,Coupé,3600,Zuzwil,309 g/km,Occasion,null,12.9 l/100km,2,Allrad,3,2003,Benzin,420,schwarz,94500,"\"Ab MFK\"",4,Automatik-Getriebe
1061.0,BMW,M3,M3 CSL,M3 CSL,BMW M3 CSL,Silver,Coupé,3246,Zuzwil,287 g/km,Occasion,G,11.9 l/100km,2,Hinterradantrieb,11,2003,Benzin,360,null,35000,"\"Ab MFK\"",5,Automatisiertes Schaltgetriebe
1062.0,Mitsubishi,LANCER,LANCER EVO V,EVO V,MITSUBISHI LANCER EVO V,Silver,Limousine,1997,Zuzwil,null,Occasion,null,null,4,Allrad,1,1999,Benzin,280,schwarz,120800,"\"Ab MFK\"",5,Schaltgetriebe manuell
1063.0,MERCEDES-BENZ,"",6.7 BRABUS,6.7 BRABUS,MERCEDES-BENZ 6.7 BRABUS,Silver,Coupé,6700,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,2000,Benzin,450,schwarz,75300,"\"Ab MFK\"",4,Automatik-Getriebe
1064.0,Porsche,911,911 Carrera 4,911 Carrera 4,PORSCHE 911 Carrera 4,Silver,Coupé,3387,Zuzwil,295 g/km,Occasion,G,12.0 l/100km,2,Allrad,11,2000,Benzin,300,schwarz,38200,"\"Ab MFK\"",4,Schaltgetriebe manuell
1065.0,Audi,TT,TT Roadster 1.8 T,TT Roadster 1.8 T,AUDI TT Roadster 1.8 T,Silver,Cabriolet,1781,Zuzwil,199 g/km,Occasion,G,8.3 l/100km,2,Vorderradantrieb,3,2005,Benzin,180,schwarz,49900,"\"Ab MFK\"",2,Schaltgetriebe manuell
1066.0,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,Silver,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,beige,101800,"\"Ab MFK\"",5,Automat sequentiell
1067.0,Renault,Alpine A110,Alpine A110 1300,1300,RENAULT Alpine A110 1300,Silver,Coupé,1288,Zuzwil,null,Occasion,null,null,2,null,0,1973,Benzin,0,schwarz,75700,"\"Ab MFK\"",2,Schaltgetriebe
